City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,crane,31.3974,-102.3501,10.020000000000039,58,100,2.09,US,1699712567
242,ilulissat,69.2167,-51.1,-7.989999999999952,53,40,4.12,GL,1699712568
243,whitehorse,60.7161,-135.0538,-2.169999999999959,100,75,1.03,CA,1699712568
244,tolanaro,-25.0319,46.9987,25.04000000000002,53,20,8.23,MG,1699712569
245,sao tome,0.3365,6.7273,25.350000000000023,90,100,3.43,ST,1699712570
246,tanumah,27.1,44.1333,26.04000000000002,18,0,2.68,SA,1699712570
247,trinity beach,-16.7888,145.6968,23.939999999999998,79,9,3.09,AU,1699712571
248,chegdomyn,51.1167,133.0167,-15.069999999999993,97,31,0.16,RU,1699712571
249,ponta delgada,37.7333,-25.6667,22.33000000000004,88,40,4.63,PT,1699712572
250,tual,-5.6667,132.75,28.120000000000005,79,90,4.56,ID,1699712572
251,kisaran,2.9845,99.6158,24.230000000000018,96,100,1.3,ID,1699712573
252,kattivakkam,13.2167,80.3167,28.930000000000007,70,73,5.25,IN,1699712573
253,catumbela,-12.4314,13.5472,25.439999999999998,84,100,2.49,AO,1699712436
254,kristiansund,63.1115,7.732,4.360000000000014,60,97,2.57,NO,1699712574
255,dili,-8.5586,125.5736,27.160000000000025,71,100,1.45,TL,1699712575
256,carutapera,-1.195,-46.02,31.08000000000004,55,18,5.72,BR,1699712575
257,rivne,50.6231,26.2274,7.75,92,100,1.72,UA,1699712576
258,progreso,21.2833,-89.6667,26.730000000000018,84,66,3.82,MX,1699712576
259,mapastepec,15.4333,-92.9,27.210000000000036,71,11,1.3,MX,1699712577
260,faya-largeau,17.9257,19.1043,34.48000000000002,14,95,4.96,TD,1699712578
261,ingeniero jacobacci,-41.3427,-69.5448,10.920000000000016,53,42,13.45,AR,1699712578
262,christchurch,-43.5333,172.6333,12.730000000000018,86,9,1.79,NZ,1699712559
263,jamestown,42.097,-79.2353,5.810000000000002,93,100,2.57,US,1699712481
264,berber,18.0216,33.983,36.03000000000003,19,16,2.41,SD,1699712580
265,cabo san lucas,22.8909,-109.9124,25.840000000000032,74,0,2.55,MX,1699712487
266,eyl,7.9803,49.8164,27.78000000000003,74,100,8.93,SO,1699712581
267,gushu,31.5598,118.4829,8.990000000000009,87,100,5.29,CN,1699712581
268,lethem,3.3803,-59.7968,33.80000000000001,45,28,5.41,GY,1699712582
269,juan griego,11.0817,-63.9655,29.560000000000002,69,92,6.23,VE,1699712582
270,kosikha,53.3617,84.5822,3.0600000000000023,92,99,2.76,RU,1699712535
271,dolores,-36.3132,-57.6792,23.58000000000004,52,20,7.54,AR,1699712583
272,margate,51.3813,1.3862,11.610000000000014,74,11,3.13,GB,1699712584
273,spanish wells,26.323,-81.7957,28.32000000000005,62,0,3.6,US,1699712585
274,miyaly,48.8844,53.7836,6.600000000000023,61,79,6.8,KZ,1699712585
275,ouani,-12.1322,44.4258,27.710000000000036,78,96,3.82,KM,1699712586
276,enewetak,11.3474,162.3373,28.150000000000034,75,94,6.07,MH,1699712587
277,caleta de carquin,-11.0925,-77.6267,20.980000000000018,77,96,3.63,PE,1699712587
278,kenora,49.8167,-94.4337,-2.4599999999999795,93,100,0.0,CA,1699712428
279,sao joao da barra,-21.6403,-41.0511,33.05000000000001,72,6,4.37,BR,1699712589
280,arica,-18.475,-70.3042,21.75,75,43,2.86,CL,1699712589
281,jalqani,12.4486,34.2186,32.170000000000016,37,98,1.34,SD,1699712590
282,rikaze,29.25,88.8833,3.7900000000000205,21,1,1.66,CN,1699712590
283,magadan,59.5667,150.8,-17.789999999999964,83,2,5.32,RU,1699712591
284,al jawf,29.5,38.75,27.75,22,100,3.42,SA,1699712592
285,okhotsk,59.3833,143.3,-17.619999999999976,84,10,9.17,RU,1699712592
286,aswan,24.0934,32.907,35.610000000000014,24,0,0.0,EG,1699712593
287,tukrah,32.5341,20.5791,25.260000000000048,48,47,6.44,LY,1699712593
288,suntar,62.1444,117.6319,-6.3700000000000045,78,100,5.59,RU,1699712594
289,kem',64.9555,34.5793,-6.789999999999964,92,96,2.77,RU,1699712486
290,tejen,37.3834,60.5054,15.28000000000003,49,33,3.12,TM,1699712595
291,sitka,57.0531,-135.33,3.9399999999999977,87,100,3.6,US,1699712596
292,san fernando,15.0286,120.6898,26.360000000000014,75,92,2.48,PH,1699712596
293,zvishavane,-20.3267,30.0665,32.55000000000001,18,40,3.13,ZW,1699712597
294,aroma,15.8167,36.1333,34.29000000000002,28,71,3.64,SD,1699712597
295,xilin hot,43.9667,116.0333,-15.439999999999998,88,78,1.77,CN,1699712598
296,svetlyy,54.675,20.1347,8.03000000000003,85,100,1.21,RU,1699712599
297,lamu,-2.2717,40.902,29.120000000000005,75,96,3.52,KE,1699712599
298,figuig (centre),32.1089,-1.2286,25.55000000000001,25,0,3.47,MA,1699712600
